bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate,label,filename
71.656050955414,837.3333333333334,48.36895239257881,28.562498604474577,52.09880722517277,0.8214285714285714,0.23214285714285715,40.0,36.80824552699449,58.254806230727354,6736.382701070165,0.6318490766445883,0.26666666666666666,0,regular_1.csv
68.91600861450108,870.625,19.67509529837149,22.37588595137282,30.654241789392536,0.49206349206349204,0.031746031746031744,0.0,21.671172274128267,16.617463274034794,1131.3500616901229,1.3041203652298736,0.3,0,regular_1.csv
59.7972972972973,1003.3898305084746,41.19446110091746,22.842062291971303,39.653673135076005,0.7241379310344828,0.08620689655172414,40.0,28.035140171279785,51.408230694270536,4527.779425107767,0.5453434166604048,0.26666666666666666,0,regular_10.csv
59.61674946770759,1006.4285714285714,61.772294165998176,41.987652505980414,62.775319519224595,0.6666666666666666,0.37037037037037035,40.0,44.3115296487038,63.88647338428911,8893.557763658335,0.6935979918966827,0.26666666666666666,0,regular_100.csv
61.93895870736086,968.695652173913,26.260293687898262,23.348651903276526,37.104503581728615,0.6511627906976745,0.06976744186046512,0.0,26.228599404412435,20.359133607664457,1677.5839607696537,1.2882964427591528,0.3333333333333333,0,regular_101.csv
55.36912751677852,1083.6363636363637,31.701083225750356,31.552425509864616,41.31182235954578,0.4666666666666667,0.2,0.0,28.967414643200573,22.627416997969522,2059.1813164933546,1.2801909579781012,0.2936241610738255,0,regular_102.csv
65.07823613086771,921.9672131147541,42.49666031742859,25.727004692895285,34.54302156706982,0.5084745762711864,0.05084745762711865,40.0,24.35021694382098,47.94902972226962,3668.027059985301,0.5078354470332832,0.2,0,regular_104.csv
57.40432612312812,1045.2173913043478,43.02371087601036,39.99012223716263,55.93647190240808,0.6666666666666666,0.17777777777777778,40.0,39.55305859784353,47.10272462041519,5852.965641015776,0.8397191227596313,0.23333333333333334,0,regular_109.csv
57.19424460431655,1049.0566037735848,113.0413874940451,86.41699464056045,143.4586775237481,0.8627450980392157,0.6666666666666666,80.0,101.4406036970964,122.54384302792322,39052.891398218126,0.8277902927687835,0.23333333333333334,0,regular_11.csv
79.38718662952647,755.7894736842105,77.752359211029,35.77708763999664,53.665631459994955,0.6,0.4,40.0,37.94733192202055,40.0,4768.602367582129,0.9486832980505138,0.20891364902506965,0,regular_111.csv
56.60377358490566,1060.0,177.6454185641783,88.30876230590032,134.35028842544403,0.8125,0.53125,120.0,94.89714827116775,234.30582312439438,69853.169514802,0.4050140410756513,0.2,0,regular_112.csv
60.046189376443415,999.2307692307693,48.668666031179015,35.11884584284246,46.188021535170066,0.5625,0.10416666666666667,0.0,32.57470047615344,54.45436417568181,5572.665756344152,0.5982018332095524,0.3333333333333333,0,regular_113.csv
67.82608695652173,884.6153846153846,48.771899951222636,26.125628728401804,37.83621211707669,0.5789473684210527,0.10526315789473684,40.0,26.71279482199899,33.35364109001023,2799.0615738827432,0.8008959126804227,0.13043478260869565,0,regular_114.csv
50.314465408805034,1192.5,102.19466717984848,28.72087897138402,45.01851470969102,0.7,0.13333333333333333,40.0,31.832897030168855,123.70574405059415,12371.316076966754,0.2573275580247073,0.23333333333333334,0,regular_116.csv
61.10572259941804,981.9047619047619,67.72627313356581,32.92415526630866,47.32863826479693,0.6,0.225,40.0,33.19638534539566,78.43468620451031,8179.91580125388,0.4232360318091862,0.16666666666666666,0,regular_118.csv
58.68814729574223,1022.3529411764706,43.59295838505625,35.90109871423003,58.87840577551898,0.7666666666666667,0.3333333333333333,40.0,41.53713198252056,37.58250183854774,4904.243967464225,1.1052253030136654,0.2,0,regular_12.csv
92.8030303030303,646.530612244898,62.25526845693916,21.536440749377164,31.696232627722456,0.5581395348837209,0.023255813953488372,40.0,22.170000535466016,74.44185683253048,5184.809135602422,0.2978163291297418,0.16666666666666666,0,regular_120.csv
58.59375,1024.0,59.86651818838306,--,,,,40.0,,,,,0.1953125,0,regular_122.csv
69.76744186046511,860.0,30.550504633038933,--,,,,0.0,,,,,0.19379844961240308,0,regular_125.csv
63.26687116564417,948.3636363636364,85.16857372536671,32.80748940328634,51.14083119567588,0.6923076923076923,0.25,40.0,36.05961533333606,116.68371247691964,13218.470334138086,0.3090372646522432,0.3,0,regular_126.csv
58.50234009360375,1025.6,121.26269005757706,53.30728530573158,76.59416862050705,0.7708333333333334,0.3333333333333333,60.0,53.95471352079548,159.36941711354507,27013.710907403663,0.33855123836184114,0.3,0,regular_127.csv
53.66726296958855,1118.0,88.9719056781409,55.366344459115524,98.20613241770825,0.8888888888888888,0.5833333333333334,80.0,69.40220937885671,91.7423929634859,20002.91238737351,0.7564900711329741,0.2,0,regular_128.csv
63.17093311312965,949.8039215686274,114.47219366237464,38.552346052446374,58.0535336216276,0.7021276595744681,0.2765957446808511,80.0,41.0456359209787,152.02868376755146,19603.896310859498,0.26998612961575447,0.26666666666666666,0,regular_129.csv
64.41717791411043,931.4285714285714,99.63197585235825,37.964750941492916,57.8399044384977,0.7045454545454546,0.29545454545454547,80.0,40.81808058298844,132.26569803253247,16960.930699902503,0.3086066999241837,0.0,0,regular_13.csv
53.13351498637602,1129.2307692307693,87.57076597389357,54.97474167490214,91.6515138991168,0.875,0.5,40.0,64.76453075908482,91.98429817697753,18715.472460054105,0.7040824580134105,0.23841961852861038,0,regular_131.csv
48.716012084592144,1231.6279069767443,68.77432702985868,36.66008629864573,60.243408707367536,0.8048780487804879,0.2682926829268293,40.0,42.59293649354746,88.59267188094822,11854.554982436703,0.4807726823137732,0.26666666666666666,0,regular_132.csv
